ticker,name,roe,net_margin,roa,roe_5y_avg,margin_volatility,revenue_growth,eps_growth,revenue_acceleration,current_ratio,debt_to_equity,interest_coverage,asset_turnover,fcf_margin,pe_ratio,ev_to_ebitda,peg_ratio,fcf_yield,growth_vs_implied
AAPL,Apple Inc.,147.3,25.3,28.9,138.2,1.1,2.0,10.9,-1.5,0.87,4.16,29.1,1.07,26.2,31.0,23.5,15.5,3.4,-6.2
MSFT,Microsoft Corp.,35.6,35.4,18.0,38.9,1.8,15.7,21.9,1.2,1.27,0.91,44.7,0.51,25.4,35.2,24.1,2.2,2.3,0.8
GOOGL,Alphabet Inc.,30.9,26.7,22.2,27.4,3.1,13.9,38.6,2.6,2.10,0.39,201.0,0.83,17.3,23.8,17.6,1.7,3.0,2.4
AMZN,Amazon.com Inc.,20.7,8.0,9.3,14.6,3.6,11.0,90.9,-1.1,1.06,1.22,12.4,1.15,5.4,42.5,18.9,3.9,1.5,-3.8
META,Meta Platforms Inc.,35.4,35.5,22.6,28.7,6.0,21.9,60.5,4.5,2.98,0.50,53.0,0.63,33.1,26.4,15.8,1.2,3.7,4.1
NVDA,NVIDIA Corp.,119.2,55.9,74.4,72.5,12.4,125.9,586.0,-32.0,4.17,0.53,132.6,1.33,46.3,55.7,45.2,0.4,1.6,18.5
JPM,JPMorgan Chase & Co.,17.0,32.9,1.3,15.8,3.4,22.9,29.1,-4.2,,1.30,,0.04,,12.1,,0.5,,
JNJ,Johnson & Johnson,49.1,41.3,20.8,29.3,9.8,4.3,,0.9,1.16,0.94,27.3,0.50,21.6,15.3,12.4,3.6,5.1,1.5
WMT,Walmart Inc.,18.5,2.4,6.2,17.9,0.4,6.0,32.8,0.6,0.83,1.52,9.4,2.57,2.4,28.9,14.6,4.8,2.1,-4.5
XOM,Exxon Mobil Corp.,17.6,10.4,8.9,13.2,5.9,-16.7,-35.4,-8.3,1.48,0.68,52.6,0.75,9.0,13.8,6.5,,7.7,6.8
